Card Number,Type,Title,Associated_Location,Flavor_Text,Rules_Text,Image_Source_Idea
1,Special,Player,,,,
2,Special,Combat Reference,,,"Combat Reference
----------
Both sides roll 1d6 & apply effects simultaneously.  

Player:
1 Miss (No hit)
2 Block (Block all incoming)
3 Hit (1 DMG)  
4 Hit (1 DMG)  
5 Critical (2 DMG)  
6 Hit (1 DMG)",
3,Special - Tracker,Resolve // Dread,,,,
4,Special - Tracker,Grace,,,,
5,Special - Tracker,Status,,,,
6,Special - Tracker,Health,,,,
7,Spare,Spare,,,,
8,Spare,Spare,,,,
9,Special,Guardian,,,"FINAL BOSS FIGHT: 20 HP
----------
The Guardian is invulnerable unless struck with the Ancient Sword
(Without Ancient Sword, you cannot damage the Guardian)

THE THREE SEALS (must be broken to defeat the Guardian):

SEAL OF APORIA (Ignorance): Cannot cross the Nightsea to reach Guardian
- Break: The Sage must use Ferryman's Bell for Night Sea Crossing

SEAL OF ACEDIA (Sloth): Guardian heals all damage at end of each round
- Break: Mirror Knight companion must be following you

SEAL OF AGNOSIA (Unknowing): When you deal damage, take that damage instead
- Break: Ghostly Princess companion must be following you

GUARDIAN COMBAT TABLE (1d6):
1 Eclipse Roar (-1 to next Player roll)
2 Shadow Gale (Block & 1 DMG; you skip your next roll)
3 Gloaming Wave (2 DMG; no rerolls next round)
4 Corona Radiation (3 DMG)
5 Devour (3 DMG, ignore Block)
6 Black Zenith (Block & 3 DMG)",
10,Spare,Spare,,,,
11,Location,Home Village Termina,Home Village Termina,"Termina’s orchards are seized by Valthria; fields salted, parents buried; you vow vengeance.",,
12,Caesura,Smoke along the lanes,Home Village Termina,Ash drifts; names taste like cinder.,EFFECT: None,
13,Terror,Parents slain by Magistrate Ellard,Home Village Termina,Ellard’s decree ends in blood; grief hardens into purpose.,"CHOOSE:
Lose 7 HP
or
Move the Resolve/Dread marker down 1",
14,Rest,Keep vigil at their graves,Home Village Termina,"You rest by new earth, whispering promises to the dead.","REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",
15,Caesura,Gravel under vow,Home Village Termina,Each step repeats the promise without words.,EFFECT: None,
16,Beast,Ravenous Boar,Home Village Termina,You wake to tusks and fury in the ruined orchard.,"FIGHT: 5 HP
----------
1 Miss
2 Miss
3 Ram (1 DMG) 
4 Gore (1 DMG)
5 Gore (1 DMG)
6 Trample (1 DMG)",
17,Item,Rations,Home Village Termina,"You gather what the raiders missed—bread, apples, salt.","USE:
Heal 4 HP",
18,Equipment,Homespun cloak,Home Village Termina,Woven by Mother's hand. Smells of smoke and cider.,"EQUIP:
Rest: Heal 2 additional HP",
19,Snare,Stench of piled bodies,Home Village Termina,The reek gnaws at resolve; every breath remembers.,"EFFECT:
Cannot spend Resolve",
20,Caesura,Cold hearth shadows,Home Village Termina,"Stone remembers warmth, not the why.",EFFECT: None,
21,Caesura,Orchard rows at dusk,Home Village Termina,Trees hold still as if listening.,EFFECT: None,
22,Caesura,Moon on the well,Home Village Termina,A circle of light steadies your breath.,EFFECT: None,
23,Caesura,Torches gutter on empty street,Home Village Termina,Night edits the day to essentials.,EFFECT: None,
24,Caesura,Keeping downwind,Home Village Termina,You move with the smoke instead of through it.,EFFECT: None,
25,Caesura,Back stairs holding breath,Home Village Termina,Wood does not argue with careful feet.,EFFECT: None,
26,Pit,Infiltrate the Magistrate’s manor,Home Village Termina,"If you fail, turned villagers force a terrible choice.","CHALLENGE:
Roll 1d6, Target: 3+, need 3 successes before 3 failures.
Each failure: Lose 2 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",
27,Hollow,Confront Ellard and his lackeys,Home Village Termina,Power bows to cruelty—until you make it otherwise.,"FIGHT: 3 HP
----------
1 Miss
2 Miss
3 Pitchfork (1 DMG) 
4 Torch (1 DMG)
5 Kris (1 DMG)
6 Cower",
28,Blessing,"Liberation, but ashes remain",Home Village Termina,Nothing left to keep you; only resolve to go forward.,"EFFECT:
Cleanse 1 Snare
&
Gain +1 to Player rolls next Duel",
29,Caesura,Dawn over blackened rows,Home Village Termina,Light finds what ash could not.,EFFECT: None,
30,Location,Forgotten Shrine,Forgotten Shrine,Lightning outlines ruins; a stair yawns downward into old stone.,,
31,Blessing,Providential shelter,Forgotten Shrine,"Dry stone, found by chance—or design.","EFFECT:
Cleanse 1 Snare",
32,Caesura,Steps into the nave,Forgotten Shrine,Echoes learn your name and let it fade.,EFFECT: None,
33,Pit,Trapped hallway,Forgotten Shrine,Mechanisms still remember intruders.,"CHALLENGE:
Roll 1d6, Target: 3+, need 3 successes before 3 failures.
Each failure: Lose 2 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",
34,Caesura,Dust wakes,Forgotten Shrine,Fingerprints teach the corridor a new story.,EFFECT: None,
35,Snare,Supernatural darkness,Forgotten Shrine,Light dies mid-air; the dark has weight.,"EFFECT: 
Automatic miss first 2 attacks each combat",
36,Caesura,Flame stutters,Forgotten Shrine,"Light shrinks, patience grows.",EFFECT: None,
37,Terror,Crushing silence of the Grand Cathedral,Forgotten Shrine,"Answerless nave, breath held by centuries.","CHOOSE:
Lose 7 HP
or
Move the Resolve/Dread marker down 1",
38,Caesura,Arches counting,Forgotten Shrine,You become a number the ruin can accept.,EFFECT: None,
39,Item,Ritual water basin,Forgotten Shrine,Cold as truth; eyes clear when you touch it.,"USE:
Heal 1d6+1",
40,Caesura,Water ring on stone,Forgotten Shrine,Ripples measure a silence you can stand in.,EFFECT: None,
41,Beast,Wraithwing Moth,Forgotten Shrine,Dust like winter; wings hum like lost vows.,"FIGHT: 5 HP
----------
1 Miss
2 Flutter (Block) 
3 Evade (Block) 
4 Toxic dust (1 DMG) 
5 Wing buffet (1 DMG)
6 Body slam (2 DMG)",
42,Caesura,Draft carries an old hymn,Forgotten Shrine,You do not sing; you keep time.,EFFECT: None,
43,Equipment,Ancient Sword,Forgotten Shrine,Light between shadows,"EQUIP:
6 COUNTER → BLOCK + DEAL 1 DMG.",
44,Caesura,Carvings in pale glow,Forgotten Shrine,Meaning chooses to arrive later.,EFFECT: None,
45,Hollow,Assailed by living shadows,Forgotten Shrine,They test what the storm already found wanting.,"FIGHT: 3 HP
----------
1 Miss 
2 Miss
3 Unnerve (1 DMG) 
4 Scrape (1 DMG)
5 Cold embrace (2 DMG)
6 Dark claw (2 DMG)",
46,Caesura,Candles take and hold,Forgotten Shrine,Small fires barter with the dark.,EFFECT: None,
47,Caesura,Dust settles like blessing,Forgotten Shrine,Stillness becomes permission.,EFFECT: None,
48,Rest,Candles and pews till morning,Forgotten Shrine,"Wax, wood, heartbeat; dawn negotiates your return.","REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",
49,Location,Bannered City Valthria,Bannered City Valthria,Valthria—annexed sprawl where status is law and waste its shadow.,,
50,Pit,City Watch shakedown,Bannered City Valthria,"Pay, talk, or vanish into paperwork.","CHALLENGE:
Roll 1d6, Target: 3+, need 3 successes before 3 failures.
Each failure: Lose 2 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",
51,Caesura,Gate queue shuffles,Bannered City Valthria,"Boots, stamps, and sighs share a beat.",EFFECT: None,
52,Rest,Vast markets,Bannered City Valthria,A thousand cries; a thousand prices on the same soul.,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",
53,Caesura,Papers folded flat,Bannered City Valthria,You keep your face the way walls do.,EFFECT: None,
54,Snare,Intoxicating spices,Bannered City Valthria,Scent blinds judgment; excess wears a smile.,"EFFECT:
Cannot spend Resolve",
55,Caesura,Alleys braid and unbraid,Bannered City Valthria,Corners practice misdirection for sport.,EFFECT: None,
56,Item,Moonleaf Brandy,Bannered City Valthria,Warm courage in a bottle; debts arrive later.,"USE:
Heal 7 HP, then lose 1d6 HP",
57,Caesura,Street vendor chorus,Bannered City Valthria,Calls weave through you and keep going.,EFFECT: None,
58,Hollow,Assassin in the crowd,Bannered City Valthria,Steel learns your name between two heartbeats.,"FIGHT: 3 HP
----------
1 Dodge (Evade)
2 Slice (1 DMG) 
3 Pierce (2 DMG) 
4 Subvert (2 DMG)
5 Eviscerate (2 DMG)
6 Riposte (Block & 1 DMG)",
59,Caesura,Faces blur in the crowd,Bannered City Valthria,You prefer it that way for now.,EFFECT: None,
60,Terror,Out of your depth,Bannered City Valthria,Vulnerability exposed beneath banners and gold.,"CHOOSE:
Lose 7 HP
or
Move the Resolve/Dread marker down 1",
61,Caesura,Eyes on the banners,Bannered City Valthria,You practice being less than a question.,EFFECT: None,
62,Beast,Refuse Ooze,Bannered City Valthria,City’s sins congeal and reach for you.,"FIGHT: 5 HP
----------
1 Sludge (Miss)
2 Creep (Miss) 
3 Murk (Miss) 
4 Toxic burn (3 DMG)
5 Rip (3 DMG)
6 Autophagy (Heal self 1 HP)",
