Title,Associated_Location,Card Number,Flavor_Text,Image_Source_Idea,Rules_Text,Type
Player,,1,,,,Special
Combat Reference,,2,,,"Combat Reference
----------
Both sides roll 1d6 & apply effects simultaneously.  

Player:
1 Miss (No hit)
2 Block (Block all incoming)
3 Hit (1 DMG)  
4 Hit (1 DMG)  
5 Critical (2 DMG)  
6 Hit (1 DMG)",Special
Resolve // Dread,,3,,,,Special - Tracker
Grace,,4,,,,Special - Tracker
Status,,5,,,,Special - Tracker
Health,,6,,,,Special - Tracker
Spare,,7,,,,Spare
Spare,,8,,,,Spare
Guardian,,9,,,"FINAL BOSS FIGHT: 20 HP
----------
The Guardian is invulnerable unless struck with the Ancient Sword
(Without Ancient Sword, you cannot damage the Guardian)

THE THREE SEALS (must be broken to defeat the Guardian):

SEAL OF APORIA (Ignorance): Cannot cross the Nightsea to reach Guardian
- Break: The Sage must use Ferryman's Bell for Night Sea Crossing

SEAL OF ACEDIA (Sloth): Guardian heals all damage at end of each round
- Break: Mirror Knight companion must be following you

SEAL OF AGNOSIA (Unknowing): When you deal damage, take that damage instead
- Break: Ghostly Princess companion must be following you

GUARDIAN COMBAT TABLE (1d6):
1 Eclipse Roar (-1 to next Player roll)
2 Shadow Gale (Block & 1 DMG; you skip your next roll)
3 Gloaming Wave (2 DMG; no rerolls next round)
4 Corona Radiation (3 DMG)
5 Devour (3 DMG, ignore Block)
6 Black Zenith (Block & 3 DMG)",Special
Spare,,10,,,,Spare
Home Village Termina,Home Village Termina,11,"Termina’s orchards are seized by Valthria; fields salted, parents buried; you vow vengeance.",,,Location
Smoke along the lanes,Home Village Termina,12,Ash drifts; names taste like cinder.,,EFFECT: None,Caesura
Parents slain by Magistrate Ellard,Home Village Termina,13,Ellard’s decree ends in blood; grief hardens into purpose.,,"CHOOSE:
Lose 7 HP
or
Move the Resolve/Dread marker down 1",Terror
Keep vigil at their graves,Home Village Termina,14,"You rest by new earth, whispering promises to the dead.",,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",Rest
Gravel under vow,Home Village Termina,15,Each step repeats the promise without words.,,EFFECT: None,Caesura
Ravenous Boar,Home Village Termina,16,You wake to tusks and fury in the ruined orchard.,,"FIGHT: 5 HP
----------
1 Miss
2 Miss
3 Ram (1 DMG) 
4 Gore (1 DMG)
5 Gore (1 DMG)
6 Trample (1 DMG)",Beast
Rations,Home Village Termina,17,"You gather what the raiders missed—bread, apples, salt.",,"USE:
Heal 4 HP",Item
Homespun cloak,Home Village Termina,18,Woven by Mother's hand. Smells of smoke and cider.,,"EQUIP:
Rest: Heal 2 additional HP",Equipment
Stench of piled bodies,Home Village Termina,19,The reek gnaws at resolve; every breath remembers.,,"EFFECT:
Cannot spend Resolve",Snare
Cold hearth shadows,Home Village Termina,20,"Stone remembers warmth, not the why.",,EFFECT: None,Caesura
Orchard rows at dusk,Home Village Termina,21,Trees hold still as if listening.,,EFFECT: None,Caesura
Torches gutter on empty street,Home Village Termina,23,Night edits the day to essentials.,,EFFECT: None,Caesura
Moon on the well,Home Village Termina,22,A circle of light steadies your breath.,,EFFECT: None,Caesura
Keeping downwind,Home Village Termina,24,You move with the smoke instead of through it.,,EFFECT: None,Caesura
Back stairs holding breath,Home Village Termina,25,Wood does not argue with careful feet.,,EFFECT: None,Caesura
Infiltrate the Magistrate’s manor,Home Village Termina,26,"If you fail, turned villagers force a terrible choice.",,"CHALLENGE:
Roll 1d6, Target: 3+, need 3 successes before 3 failures.
Each failure: Lose 2 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Confront Ellard and his lackeys,Home Village Termina,27,Power bows to cruelty—until you make it otherwise.,,"FIGHT: 3 HP
----------
1 Miss
2 Miss
3 Pitchfork (1 DMG) 
4 Torch (1 DMG)
5 Kris (1 DMG)
6 Cower",Hollow
"Liberation, but ashes remain",Home Village Termina,28,Nothing left to keep you; only resolve to go forward.,,"EFFECT:
Cleanse 1 Snare
&
Gain +1 to Player rolls next Duel",Blessing
Dawn over blackened rows,Home Village Termina,29,Light finds what ash could not.,,EFFECT: None,Caesura
Forgotten Shrine,Forgotten Shrine,30,Lightning outlines ruins; a stair yawns downward into old stone.,,,Location
Providential shelter,Forgotten Shrine,31,"Dry stone, found by chance—or design.",,"EFFECT:
Cleanse 1 Snare",Blessing
Steps into the nave,Forgotten Shrine,32,Echoes learn your name and let it fade.,,EFFECT: None,Caesura
Trapped hallway,Forgotten Shrine,33,Mechanisms still remember intruders.,,"CHALLENGE:
Roll 1d6, Target: 3+, need 3 successes before 3 failures.
Each failure: Lose 2 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Dust wakes,Forgotten Shrine,34,Fingerprints teach the corridor a new story.,,EFFECT: None,Caesura
Supernatural darkness,Forgotten Shrine,35,Light dies mid-air; the dark has weight.,,"EFFECT: 
Automatic miss first 2 attacks each combat",Snare
Flame stutters,Forgotten Shrine,36,"Light shrinks, patience grows.",,EFFECT: None,Caesura
Crushing silence of the Grand Cathedral,Forgotten Shrine,37,"Answerless nave, breath held by centuries.",,"CHOOSE:
Lose 7 HP
or
Move the Resolve/Dread marker down 1",Terror
Arches counting,Forgotten Shrine,38,You become a number the ruin can accept.,,EFFECT: None,Caesura
Ritual water basin,Forgotten Shrine,39,Cold as truth; eyes clear when you touch it.,,"USE:
Heal 1d6+1",Item
Water ring on stone,Forgotten Shrine,40,Ripples measure a silence you can stand in.,,EFFECT: None,Caesura
Wraithwing Moth,Forgotten Shrine,41,Dust like winter; wings hum like lost vows.,,"FIGHT: 5 HP
----------
1 Miss
2 Flutter (Block) 
3 Evade (Block) 
4 Toxic dust (1 DMG) 
5 Wing buffet (1 DMG)
6 Body slam (2 DMG)",Beast
Draft carries an old hymn,Forgotten Shrine,42,You do not sing; you keep time.,,EFFECT: None,Caesura
Ancient Sword,Forgotten Shrine,43,Light between shadows,,"EQUIP:
6 COUNTER → BLOCK + DEAL 1 DMG.",Equipment
Carvings in pale glow,Forgotten Shrine,44,Meaning chooses to arrive later.,,EFFECT: None,Caesura
Assailed by living shadows,Forgotten Shrine,45,They test what the storm already found wanting.,,"FIGHT: 3 HP
----------
1 Miss 
2 Miss
3 Unnerve (1 DMG) 
4 Scrape (1 DMG)
5 Cold embrace (2 DMG)
6 Dark claw (2 DMG)",Hollow
Candles take and hold,Forgotten Shrine,46,Small fires barter with the dark.,,EFFECT: None,Caesura
Dust settles like blessing,Forgotten Shrine,47,Stillness becomes permission.,,EFFECT: None,Caesura
Candles and pews till morning,Forgotten Shrine,48,"Wax, wood, heartbeat; dawn negotiates your return.",,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",Rest
Bannered City Valthria,Bannered City Valthria,49,Valthria—annexed sprawl where status is law and waste its shadow.,,,Location
City Watch shakedown,Bannered City Valthria,50,"Pay, talk, or vanish into paperwork.",,"CHALLENGE:
Roll 1d6, Target: 3+, need 3 successes before 3 failures.
Each failure: Lose 2 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Gate queue shuffles,Bannered City Valthria,51,"Boots, stamps, and sighs share a beat.",,EFFECT: None,Caesura
Vast markets,Bannered City Valthria,52,A thousand cries; a thousand prices on the same soul.,,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",Rest
Papers folded flat,Bannered City Valthria,53,You keep your face the way walls do.,,EFFECT: None,Caesura
Intoxicating spices,Bannered City Valthria,54,Scent blinds judgment; excess wears a smile.,,"EFFECT:
Cannot spend Resolve",Snare
Alleys braid and unbraid,Bannered City Valthria,55,Corners practice misdirection for sport.,,EFFECT: None,Caesura
Moonleaf Brandy,Bannered City Valthria,56,Warm courage in a bottle; debts arrive later.,,"USE:
Heal 7 HP, then lose 1d6 HP",Item
Street vendor chorus,Bannered City Valthria,57,Calls weave through you and keep going.,,EFFECT: None,Caesura
Assassin in the crowd,Bannered City Valthria,58,Steel learns your name between two heartbeats.,,"FIGHT: 3 HP
----------
1 Dodge (Evade)
2 Slice (1 DMG) 
3 Pierce (2 DMG) 
4 Subvert (2 DMG)
5 Eviscerate (2 DMG)
6 Riposte (Block & 1 DMG)",Hollow
Faces blur in the crowd,Bannered City Valthria,59,You prefer it that way for now.,,EFFECT: None,Caesura
Eyes on the banners,Bannered City Valthria,61,You practice being less than a question.,,EFFECT: None,Caesura
Out of your depth,Bannered City Valthria,60,Vulnerability exposed beneath banners and gold.,,"CHOOSE:
Lose 7 HP
or
Move the Resolve/Dread marker down 1",Terror
Gutter water finds a drain,Bannered City Valthria,63,You follow the downhill logic.,,EFFECT: None,Caesura
Refuse Ooze,Bannered City Valthria,62,City’s sins congeal and reach for you.,,"FIGHT: 5 HP
----------
1 Sludge (Miss)
2 Creep (Miss) 
3 Murk (Miss) 
4 Toxic burn (3 DMG)
5 Rip (3 DMG)
6 Autophagy (Heal self 1 HP)",Beast
Golden bangle,Bannered City Valthria,64,Warmth remembered in gold.,,"EQUIP:
No effect",Equipment
Steps match the bells,Bannered City Valthria,65,Time is public; you are passing through.,,EFFECT: None,Caesura
Coins click like rain,Bannered City Valthria,66,Value passes through without staying.,,EFFECT: None,Caesura
Humility,Bannered City Valthria,67,Smallness becomes sight; you pass gate to gate.,,"EFFECT:
Cleanse 1 Snare
&
Gain +1 to Player rolls next Duel",Blessing
The Caelith Spiremaze,The Caelith Spiremaze,68,Spire upon spire; answers drift like dreams.,,,Location
Labyrinthine ascent,The Caelith Spiremaze,69,Stairs lie; corridors argue; you get lost anyway.,,"CHALLENGE:
Roll 1d6, Target: 3+, need 3 successes before 3 failures.
Each failure: Lose 2 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Stairs that disagree,The Caelith Spiremaze,70,Up and down negotiate underfoot.,,EFFECT: None,Caesura
Constellation shaped like a sword,The Caelith Spiremaze,71,Stars arrange themselves as if remembering you.,,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",Rest
Star-lines rehearsed,The Caelith Spiremaze,72,Constellations suggest a route without insisting.,,EFFECT: None,Caesura
Damsel in a distant tower,The Caelith Spiremaze,73,"Is rescue possible, or only pursuit?",,"CHOOSE:
Lose 8 HP
or 
move the Resolve/Dread marker down 1",Terror
High light,The Caelith Spiremaze,74,far away,,EFFECT: None,Caesura
Psychic malaise of questions,The Caelith Spiremaze,75,Doubt multiplies like hallways.,,"EFFECT:
Cannot Rest",Snare
Questions thin to wind,The Caelith Spiremaze,76,You walk anyway; it approves.,,EFFECT: None,Caesura
Mirror shard on a pedestal,The Caelith Spiremaze,77,It shows the cut between who you are and could be.,,"USE:
Throw for 2 DMG (one-time use)",Item
Palm lines itch with choices,The Caelith Spiremaze,78,You close your hand and keep moving.,,EFFECT: None,Caesura
Spectral lantern,The Caelith Spiremaze,79,Cold flame that lights only the honest path.,,"EQUIP:
Once per location, peek at 2 face down cards
Turn sideways to track use",Equipment
Cold light at an arch,The Caelith Spiremaze,80,Edges glow where paths decide.,,EFFECT: None,Caesura
Ghostly Princess,The Caelith Spiremaze,81,The bangle remembers her pulse; She follows like a moon,,"CHOOSE:
Give Golden Bangle: Ghostly Princess follows you
OR
Discard this card: She fades forever",Companion
Footfalls find a second rhythm,The Caelith Spiremaze,82,Something unseen keeps pace without promise.,,EFFECT: None,Caesura
Scholarly sphinx at the exit,The Caelith Spiremaze,83,Riddles with claws; doctrine with teeth.,,"FIGHT: 7 HP
----------
1 Dissociate (Miss)
2 Rebuff (Block) 
3 Debate (2 DMG) 
4 Refute (2 DMG)
5 Deconstruct (3 DMG)
6 Slander (Block & 2 DMG)",Beast
Door that was not there,The Caelith Spiremaze,84,You pass as if it always was.,,EFFECT: None,Caesura
Answer one step ahead,The Caelith Spiremaze,85,You follow without insisting.,,EFFECT: None,Caesura
Purpose: follow and protect,The Caelith Spiremaze,86,Her direction steadies your step.,,"EFFECT:
Cleanse 1 Snare
&
Gain +1 to Player rolls next Duel",Blessing
Sirocco Wastes,Sirocco Wastes,87,The wastes were empire once; now only distance rules.,,,Location
Four days under the red sun,Sirocco Wastes,88,It never sets; neither do you.,,"EFFECT:
-1 HP",Caesura
Heat shimmer road,Sirocco Wastes,89,The air wears a mirage and you wear the air.,,EFFECT: None,Caesura
Scattered adventuring gear (ruined),Sirocco Wastes,90,"Broken straps, sand-gnawed steel—warnings or gifts.",,"EFFECT:
-1 HP",Caesura
Sand repairs your stride,Sirocco Wastes,91,Leather learns new compromises.,,EFFECT: None,Caesura
Recovered gear pieces,Sirocco Wastes,92,Every fragment teaches economy.,,"EFFECT:
-1 HP",Caesura
Sky without corners,Sirocco Wastes,93,Your shadow signs its small agreement.,,EFFECT: None,Caesura
Half-buried ribs,Sirocco Wastes,95,Ruins make their own horizon.,,EFFECT: None,Caesura
Sand-eaten war colossus,Sirocco Wastes,94,A battlefield remembers how to stand.,,"EFFECT:
-2 HP",Beast
Desiccating winds,Sirocco Wastes,96,Hours peel you down to intent.,,"EFFECT:
-2 HP",Snare
Wind writes in salt,Sirocco Wastes,97,You read what you need and let the rest blow.,,EFFECT: None,Caesura
Counting to the next shade,Sirocco Wastes,99,Numbers break and you keep counting.,,EFFECT: None,Caesura
Featureless expanse,Sirocco Wastes,98,Exile is the shape of a horizon.,,"EFFECT:
-2 HP",Terror
Mirror Knight,Sirocco Wastes,100,A reflection that cannot be defeated by force alone.,,"FIGHT: UNWINNABLE
HP = Player HP
----------
1 Copy player roll
2 Copy player roll 
3 Copy player roll
4 Copy player roll
5 Copy player roll
6 Copy player roll

SPECIAL: Use Mirror Shard - Mirror Knight recognizes himself and follows you
(This is the only way past this encounter)",Companion
Long shadow keeps pace,Sirocco Wastes,101,Distance teaches companionship without words.,,EFFECT: None,Caesura
Wandering until treeline appears,Sirocco Wastes,102,"At last, green edges the sky; night follows.",,"CHALLENGE:
Roll 1d6, Target: 4+, need 3 successes before 3 failures.
Each failure: Lose 3 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Green rumor at the edge,Sirocco Wastes,103,Hope changes color first.,,EFFECT: None,Caesura
Night cool on cracked lips,Sirocco Wastes,104,Rest arrives as a thinner heat.,,EFFECT: None,Caesura
Gratitude,Sirocco Wastes,105,"Empty hands, lighter heart.",,"EFFECT:
Cleanse 1 Snare 
& 
Full Heal",Blessing
Darkwood Brume,Darkwood Brume,106,Mist and misdirection; meaning hides off-path.,,,Location
Brook in the shade,Darkwood Brume,107,Cold water trades heat for hope.,,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",Rest
Brook keeps slow time,Darkwood Brume,108,You tune your breath to water.,,EFFECT: None,Caesura
