Abs_No,Card_Type,Associated_Location,Title,Image_Source_Idea,Rules_Text,Flavor_Text
1,Special,,Player,,,
2,Special,,Combat Reference,,"Combat Reference
----------
Both sides roll 1d6 & apply effects simultaneously.  

Player:
1 Miss (No hit)
2 Block (Block all incoming)
3 Hit (1 DMG)  
4 Hit (1 DMG)  
5 Critical (2 DMG)  
6 Hit (1 DMG)",
3,Special,,Resolve,,RESOLVE,
4,Special,,Dread,,DREAD,
5,Spare,,Spare,,,
6,Spare,,Spare,,,
7,Spare,,Spare,,,
8,Spare,,Spare,,,
9,Special,,Dragon,,"FIGHT: 
20 HP
----------
Seal of Aporia: Blocks all incoming damage
Seal of Acedia: At end of each round, the Dragon heals all damage taken this round
Seal of Agnosia: Whenever you would deal damage, you take that much instead

1 Eclipse Roar (-1 to next Player roll)
2 Shadow Gale (Block & 1 DMG; you skip your next roll)
3 Gloaming Wave (2 DMG; no rerolls next round)
4 Corona Radiation (3 DMG)
5 Devour (3 DMG, ignore Block)
6 Black Zenith (Block & 3 DMG)",
10,Spare,,Spare,,,
11,Location,Home Villiage Termina,Home Villiage Termina,,,"Termina’s orchards are seized by Valthria; fields salted, parents buried; you vow vengeance."
12,Caesura,Home Villiage Termina,Smoke along the lanes,,EFFECT: None,Ash drifts; names taste like cinder.
13,Terror,Home Villiage Termina,Parents slain by Magistrate Ellard,,"CHOOSE:
-7 HP
or
Move the Resolve/Dread marker down 1",Ellard’s decree ends in blood; grief hardens into purpose.
14,Scene,Home Villiage Termina,Keep vigil at their graves,,"REST: 
???","You rest by new earth, whispering promises to the dead."
15,Caesura,Home Villiage Termina,Gravel under vow,,EFFECT: None,Each step repeats the promise without words.
16,Beast,Home Villiage Termina,Ravenous Boar,,"FIGHT: 5 HP
----------
1 Miss
2 Miss
3 Ram (1 DMG) 
4 Gore (1 DMG)
5 Gore (1 DMG)
6 Trample (1 DMG)",You wake to tusks and fury in the ruined orchard.
17,Item,Home Villiage Termina,Rations,,"USE: 
Heal 4 HP","You gather what the raiders missed—bread, apples, salt."
18,Equipment,Home Villiage Termina,Homespun cloak,,"EQUIP:
Rest = Heal 2 HP",Woven by Mother's hand. Smells of smoke and cider.
19,Snare,Home Villiage Termina,Stench of piled bodies,,"EFFECT: 
Cannot spend resolve",The reek gnaws at resolve; every breath remembers.
20,Caesura,Home Villiage Termina,Cold hearth shadows,,EFFECT: None,"Stone remembers warmth, not the why."
21,Caesura,Home Villiage Termina,Orchard rows at dusk,,EFFECT: None,Trees hold still as if listening.
22,Caesura,Home Villiage Termina,Moon on the well,,EFFECT: None,A circle of light steadies your breath.
23,Caesura,Home Villiage Termina,Torches gutter on empty street,,EFFECT: None,Night edits the day to essentials.
24,Caesura,Home Villiage Termina,Keeping downwind,,EFFECT: None,You move with the smoke instead of through it.
25,Caesura,Home Villiage Termina,Back stairs holding breath,,EFFECT: None,Wood does not argue with careful feet.
26,Pit,Home Villiage Termina,Infiltrate the Magistrate’s manor,,"CHALLENGE - Save on 3+
Roll 1d6 until you have 3 saves or 3 fails.
Each fail: -2 HP.
On 3 fails: move the Resolve/Dread marker down 1.","If you fail, turned villagers force a terrible choice."
27,Hollow,Home Villiage Termina,Confront Ellard and his lackeys,,"FIGHT: 3 HP
----------
1 Miss
2 Miss
3 Pitchfork (1 DMG) 
4 Torch (1 DMG)
5 Kris (1 DMG)
6 Cower",Power bows to cruelty—until you make it otherwise.
28,Blessing,Home Villiage Termina,"Liberation, but ashes remain",,"EFFECT: 
Cleanse 1 Snare
& 
+1 to Player rolls next combat",Nothing left to keep you; only resolve to go forward.
29,Caesura,Home Villiage Termina,Dawn over blackened rows,,EFFECT: None,Light finds what ash could not.
30,Location,Forgotten Shrine,Forgotten Shrine,,,Lightning outlines ruins; a stair yawns downward into old stone.
31,Blessing,Forgotten Shrine,Providential shelter,,"EFFECT:
Cleanse 1 Snare","Dry stone, found by chance—or design."
32,Caesura,Forgotten Shrine,Steps into the nave,,EFFECT: None,Echoes learn your name and let it fade.
33,Pit,Forgotten Shrine,Trapped hallway,,"CHALLENGE: 
Roll 1d6, Target: 3+, 3 successes
Lose 2HP for each failure",Mechanisms still remember intruders.
34,Caesura,Forgotten Shrine,Dust wakes,,EFFECT: None,Fingerprints teach the corridor a new story.
35,Snare,Forgotten Shrine,Supernatural darkness,,"EFFECT: 
Automatic miss first 2 attacks each combat",Light dies mid-air; the dark has weight.
36,Caesura,Forgotten Shrine,Flame stutters,,EFFECT: None,"Light shrinks, patience grows."
37,Terror,Forgotten Shrine,Crushing silence of the Grand Cathedral,,"CHOOSE: 
Lose 7HP 
or 
move the Resolve/Dread marker down 1","Answerless nave, breath held by centuries."
38,Caesura,Forgotten Shrine,Arches counting,,EFFECT: None,You become a number the ruin can accept.
39,Item,Forgotten Shrine,Ritual water basin,,"USE: 
Heal 1d6+1",Cold as truth; eyes clear when you touch it.
40,Caesura,Forgotten Shrine,Water ring on stone,,EFFECT: None,Ripples measure a silence you can stand in.
41,Beast,Forgotten Shrine,Wraithwing Moth,,"FIGHT: 5 HP
----------
1 Miss
2 Flutter (Block) 
3 Evade (Block) 
4 Toxic dust (1 DMG) 
5 Wing buffet (1 DMG)
6 Body slam (2 DMG)",Dust like winter; wings hum like lost vows.
42,Caesura,Forgotten Shrine,Draft carries an old hymn,,EFFECT: None,You do not sing; you keep time.
43,Equipment,Forgotten Shrine,Ancient Sword,,"EQUIP: 
6 COUNTER → BLOCK + DEAL 1 DMG.",???
44,Caesura,Forgotten Shrine,Carvings in pale glow,,EFFECT: None,Meaning chooses to arrive later.
45,Hollow,Forgotten Shrine,Assailed by living shadows,,"FIGHT: 3 HP
----------
1 Miss 
2 Miss
3 Unnerve (1 DMG) 
4 Scrape (1 DMG)
5 Cold embrace (2 DMG)
6 Dark claw (2 DMG)",They test what the storm already found wanting.
46,Caesura,Forgotten Shrine,Candles take and hold,,EFFECT: None,Small fires barter with the dark.
47,Caesura,Forgotten Shrine,Dust settles like blessing,,EFFECT: None,Stillness becomes permission.
48,Scene,Forgotten Shrine,Candles and pews till morning,,"REST:
???","Wax, wood, heartbeat; dawn negotiates your return."
49,Location,Bannered City Valthria,Bannered City Valthria,,,Valthria—annexed sprawl where status is law and waste its shadow.
50,Pit,Bannered City Valthria,City Watch shakedown,,"CHALLENGE: 
Roll 1d6, Target: 3+, 3 successes
Lose 2 HP for each failure
If 3 failures, move the Resolve/Dread marker down 1","Pay, talk, or vanish into paperwork."
51,Caesura,Bannered City Valthria,Gate queue shuffles,,EFFECT: None,"Boots, stamps, and sighs share a beat."
52,Scene,Bannered City Valthria,Vast markets,,"REST:
???",A thousand cries; a thousand prices on the same soul.
53,Caesura,Bannered City Valthria,Papers folded flat,,EFFECT: None,You keep your face the way walls do.
54,Snare,Bannered City Valthria,Intoxicating spices,,"EFFECT: 
Cannot spend resolve",Scent blinds judgment; excess wears a smile.
55,Caesura,Bannered City Valthria,Alleys braid and unbraid,,EFFECT: None,Corners practice misdirection for sport.
56,Item,Bannered City Valthria,Moonleaf Brandy,,"USE: 
Heal 7 HP, then lose -1d6 HP",Warm courage in a bottle; debts arrive later.
57,Caesura,Bannered City Valthria,Street vendor chorus,,EFFECT: None,Calls weave through you and keep going.
58,Hollow,Bannered City Valthria,Assassin in the crowd,,"FIGHT: 
3 HP
----------
1 Dodge (Evade)
2 Slice (1 DMG) 
3 Peirce (2 DMG) 
4 Subvert (2 DMG)
5 Eviscerate (2 DMG)
6 Riposte (Block & 1 DMG)",Steel learns your name between two heartbeats.
59,Caesura,Bannered City Valthria,Faces blur in the crowd,,EFFECT: None,You prefer it that way for now.
60,Terror,Bannered City Valthria,Out of your depth,,"CHOOSE:
Lose 7HP
or
move the Resolve/Dread marker down 1",Vulnerability exposed beneath banners and gold.
61,Caesura,Bannered City Valthria,Eyes on the banners,,EFFECT: None,You practice being less than a question.
62,Beast,Bannered City Valthria,Refuse Ooze,,"FIGHT: 
5 HP
----------
1 Sludge (Miss)
2 Creep (Miss) 
3 Murk (Miss) 
4 Toxic burn (3 DMG)
5 Rip (3 DMG)
6 Autophagy (Heal self 1 HP)",City’s sins congeal and reach for you.
63,Caesura,Bannered City Valthria,Gutter water finds a drain,,EFFECT: None,You follow the downhill logic.
64,Equipment,Bannered City Valthria,Golden bangle,,"EQUIP: 
???",xxx
65,Caesura,Bannered City Valthria,Steps match the bells,,EFFECT: None,Time is public; you are passing through.
66,Caesura,Bannered City Valthria,Coins click like rain,,EFFECT: None,Value passes through without staying.
67,Blessing,Bannered City Valthria,Humility,,"EFFECT:
Cleanse 1 Snare 
& 
+1 to Player rolls next combat",Smallness becomes sight; you pass gate to gate.
68,Location,The Caelith Spiremaze,The Caelith Spiremaze,,,Spire upon spire; answers drift like dreams.
