Card_Type,Card_ID (assoc. location),Title,Image_Source // Idea,Rules_Text,Flavor_Text,?Lore_Text?
Special,,Player,,,,
Special,,Combat Reference,,"Combat Reference
----------
Both sides roll 1d6 & apply effects simultaneously.  

Player:
1 Miss (No hit)
2 Block (Block all incoming)
3 Hit (1 DMG)  
4 Hit (1 DMG)  
5 Critical (2 DMG)  
6 Hit (1 DMG)  ",,
Special,,Resolve,,"RESOLVE
----------
Place cards on top of this face up",,
Special,,Dread,,"DREAD
----------
Place cards on top of this face up",,
Special,,Order of play,,xxxxx,,
Special,,Spare,,,,
Special,,Spare,,,,
Special,,Spare,,,,
Special,,Dragon ,,"FIGHT: 
20 HP
----------
Seal of Aporia: Blocks all incoming damage
Seal of Acedia: At end of each round, the Dragon heals all damage taken this round
Seal of Agnosia: Whenever you would deal damage, you take that much instead

1 Eclipse Roar (-1 to next Player roll)
2 Shadow Gale (Block & 1 DMG; you skip your next roll)
3 Gloaming Wave (2 DMG; no rerolls next round)
4 Corona Radiation (3 DMG)
5 Devour (3 DMG, ignore Block)
6 Black Zenith (Block & 3 DMG)",,
Special,,Spare,,,,
Location,,Home Villiage Termina,,,"Termina’s orchards are seized by Valthria; fields salted, parents buried; you vow vengeance.",
Terror,HVT-TER-01,Parents slain by Magistrate Ellard,,"CHOOSE:
-7 HP
or
Place card in DREAD (face down)
",Ellard’s decree ends in blood; grief hardens into purpose.,
Caesura,HVT-CA-01,Smoke along the lanes,,"EFFECT: None","Ash drifts; names taste like cinder.",
Scene,HVT-SCN-01,Keep vigil at their graves,,"REST: 
???","You rest by new earth, whispering promises to the dead.",
Caesura,HVT-CA-02,Gravel under vow,,"EFFECT: None","Each step repeats the promise without words.",
Beast,HVT-BST-01,Ravenous Boar,,"FIGHT: 5 HP
----------
1 Miss
2 Miss
3 Ram (1 DMG) 
4 Gore (1 DMG)
5 Gore (1 DMG)
6 Trample (1 DMG)",You wake to tusks and fury in the ruined orchard.,
Caesura,HVT-CA-03,Orchard rows at dusk,,"EFFECT: None","Trees hold still as if listening.",
Item,HVT-ITM-01,Rations,,"USE: 
Heal 4 HP","You gather what the raiders missed—bread, apples, salt.",
Caesura,HVT-CA-04,Cold hearth shadows,,"EFFECT: None","Stone remembers warmth, not the why.",
Equipment,HVT-EQP-01,Homespun cloak,,"EQUIP:
Rest = Heal 2 HP",Woven by Mother's hand. Smells of smoke and cider.,
Caesura,HVT-CA-05,Moon on the well,,"EFFECT: None","A circle of light steadies your breath.",
Snare,HVT-SNR-01,Stench of piled bodies,,"EFFECT: 
Cannot spend resolve",The reek gnaws at resolve; every breath remembers.,
Caesura,HVT-CA-06,Keeping downwind,,"EFFECT: None","You move with the smoke instead of through it.",
Pit,HVT-PIT-01,Infiltrate the Magistrate’s manor,,"CHALLENGE - Save on 3+
Roll 1d6 until you have 3 saves or 3 fails.
Each fail: -2 HP.
On 3 fails: add this card to DREAD.
","If you fail, turned villagers force a terrible choice.",
Caesura,HVT-CA-07,Back stairs holding breath,,"EFFECT: None","Wood does not argue with careful feet.",
Hollow,HVT-HLW-01,Confront Ellard and his lackeys,,"FIGHT: 3 HP
----------
1 Miss
2 Miss
3 Pitchfork (1 DMG) 
4 Torch (1 DMG)
5 Kris (1 DMG)
6 Cower ",Power bows to cruelty—until you make it otherwise.,
Caesura,HVT-CA-08,Torches gutter on empty street,,"EFFECT: None","Night edits the day to essentials.",
Blessing,HVT-BLS-01,"Liberation, but ashes remain",,"EFFECT: 
Cleanse 1 Snare
+1 to Player rolls next combat",Nothing left to keep you; only resolve to go forward.,
Location,,Forgotten Shrine,,,Lightning outlines ruins; a stair yawns downward into old stone.,
Blessing,FS-BLS-01,Providential shelter,,"EFFECT:
Cleanse 1 Snare ","Dry stone, found by chance—or design.",
Caesura,FS-CA-01,Steps into the nave,,"EFFECT: None","Echoes learn your name and let it fade.",
Pit,FS-PIT-01,Trapped hallway,,"CHALLENGE: 
Roll 1d6, Target: 3+, 3 successes
Lose 2HP for each failure",Mechanisms still remember intruders.,
Caesura,FS-CA-02,Dust wakes,,"EFFECT: None","Fingerprints teach the corridor a new story.",
Snare,FS-SNR-01,Supernatural darkness,,"EFFECT: 
Automatic miss first 2 attacks each combat",Light dies mid-air; the dark has weight.,
Caesura,FS-CA-03,Flame stutters,,"EFFECT: None","Light shrinks, patience grows.",
Terror,FS-TER-01,Crushing silence of the Grand Cathedral,,"CHOOSE: 
Lose 7HP 
or 
add to DREAD","Answerless nave, breath held by centuries.",
Caesura,FS-CA-04,Arches counting,,"EFFECT: None","You become a number the ruin can accept.",
Item,FS-ITM-01,Ritual water basin,,"USE: 
Heal 1d6+1",Cold as truth; eyes clear when you touch it.,
Caesura,FS-CA-05,Water ring on stone,,"EFFECT: None","Ripples measure a silence you can stand in.",
Beast,FS-BST-01,Wraithwing Moth,,"FIGHT: 5 HP
----------
1 Miss
2 Flutter (Block) 
3 Evade (Block) 
4 Toxic dust (1 DMG) 
5 Wing buffet (1 DMG)
6 Body slam (2 DMG)",Dust like winter; wings hum like lost vows.,
Caesura,FS-CA-06,Draft carries an old hymn,,"EFFECT: None","You do not sing; you keep time.",
Equipment,FS-EQP-01,Ancient Sword,,"EQUIP: 
6 COUNTER → BLOCK + DEAL 1 DMG.",???,
Caesura,FS-CA-07,Carvings in pale glow,,"EFFECT: None","Meaning chooses to arrive later.",
Hollow,FS-HLW-01,Assailed by living shadows,,"FIGHT: 3 HP
----------
1 Miss 
2 Miss
3 Unnerve (1 DMG) 
4 Scrape (1 DMG)
5 Cold embrace (2 DMG)
6 Dark claw (2 DMG)",They test what the storm already found wanting.,
Caesura,FS-CA-08,Candles take and hold,,"EFFECT: None","Small fires barter with the dark.",
