boosterIndex,boosterName,setCode,sheetName,sheetPicks
0,draft,10E,basic,1
0,draft,10E,common,10
0,draft,10E,rare,1
0,draft,10E,uncommon,3
1,draft,10E,basic,1
1,draft,10E,common,9
1,draft,10E,foilCommon,1
1,draft,10E,rare,1
1,draft,10E,uncommon,3
2,draft,10E,basic,1
2,draft,10E,common,10
2,draft,10E,foilUncommon,1
2,draft,10E,rare,1
2,draft,10E,uncommon,2
3,draft,10E,basic,1
3,draft,10E,common,9
3,draft,10E,foilCommon,1
3,draft,10E,foilUncommon,1
3,draft,10E,rare,1
3,draft,10E,uncommon,2
4,draft,10E,basic,1
4,draft,10E,common,10
4,draft,10E,foilRare,1
4,draft,10E,uncommon,3
5,draft,10E,basic,1
5,draft,10E,common,9
5,draft,10E,foilCommon,1
5,draft,10E,foilRare,1
5,draft,10E,uncommon,3
6,draft,10E,basic,1
6,draft,10E,common,10
6,draft,10E,foilRare,1
6,draft,10E,foilUncommon,1
6,draft,10E,uncommon,2
7,draft,10E,basic,1
7,draft,10E,common,9
7,draft,10E,foilCommon,1
7,draft,10E,foilRare,1
7,draft,10E,foilUncommon,1
7,draft,10E,uncommon,2
8,draft,10E,common,10
8,draft,10E,foilBasic,1
8,draft,10E,rare,1
8,draft,10E,uncommon,3
9,draft,10E,common,9
9,draft,10E,foilBasic,1
9,draft,10E,foilCommon,1
9,draft,10E,rare,1
9,draft,10E,uncommon,3
10,draft,10E,common,10
10,draft,10E,foilBasic,1
10,draft,10E,foilUncommon,1
10,draft,10E,rare,1
10,draft,10E,uncommon,2
11,draft,10E,common,9
11,draft,10E,foilBasic,1
11,draft,10E,foilCommon,1
11,draft,10E,foilUncommon,1
11,draft,10E,rare,1
11,draft,10E,uncommon,2
12,draft,10E,common,10
12,draft,10E,foilBasic,1
12,draft,10E,foilRare,1
12,draft,10E,uncommon,3
13,draft,10E,common,9
13,draft,10E,foilBasic,1
13,draft,10E,foilCommon,1
13,draft,10E,foilRare,1
13,draft,10E,uncommon,3
14,draft,10E,common,10
14,draft,10E,foilBasic,1
14,draft,10E,foilRare,1
14,draft,10E,foilUncommon,1
14,draft,10E,uncommon,2
15,draft,10E,common,9
15,draft,10E,foilBasic,1
15,draft,10E,foilCommon,1
15,draft,10E,foilRare,1
15,draft,10E,foilUncommon,1
15,draft,10E,uncommon,2
0,default,2ED,common,11
0,default,2ED,rare,1
0,default,2ED,uncommon,3
0,starter,2ED,commonWithDuplicates,45
0,starter,2ED,rare,2
0,starter,2ED,uncommonWithDuplicates,13
0,collector,2X2,commonUncommonShowcase,2
0,collector,2X2,etchedRareMythic,1
0,collector,2X2,foilCommon,5
0,collector,2X2,foilCommonUncommonShowcase,2
0,collector,2X2,foilRareMythic,1
0,collector,2X2,foilRareMythicShowcase,1
0,collector,2X2,foilUncommon,2
0,collector,2X2,rareMythicShowcase,1
1,collector,2X2,commonUncommonShowcase,2
1,collector,2X2,etchedRareMythic,1
1,collector,2X2,foilCommon,5
1,collector,2X2,foilCommonUncommonShowcase,2
1,collector,2X2,foilRareMythic,1
1,collector,2X2,foilUncommon,2
1,collector,2X2,rareMythicShowcase,1
1,collector,2X2,texturedRareMythicShowcase,1
0,draft,2X2,commonWithShowcase,8
0,draft,2X2,crypticSpires,1
0,draft,2X2,dedicatedFoilDoubleMasters,2
0,draft,2X2,rareMythicWithShowcase,2
0,draft,2X2,uncommonWithShowcase,3
0,box-topper,2XM,boxtopper,1
0,draft,2XM,common,8
0,draft,2XM,dedicatedFoilDoubleMasters,2
0,draft,2XM,rareMythic,2
0,draft,2XM,uncommon,3
0,vip,2XM,foilBasic,2
0,vip,2XM,foilCommon,9
0,vip,2XM,foilForest1,1
