boosterName,setCode,sheetHasBalanceColors,sheetIsFoil,sheetName
draft,10E,False,False,basic
draft,10E,True,False,common
draft,10E,False,True,foilBasic
draft,10E,False,True,foilCommon
draft,10E,False,True,foilRare
draft,10E,False,True,foilUncommon
draft,10E,False,False,rare
draft,10E,False,False,uncommon
default,2ED,False,False,common
default,2ED,False,False,rare
default,2ED,False,False,uncommon
starter,2ED,False,False,commonWithDuplicates
starter,2ED,False,False,rare
starter,2ED,False,False,uncommonWithDuplicates
collector,2X2,False,False,commonUncommonShowcase
collector,2X2,False,True,etchedRareMythic
collector,2X2,False,True,foilCommon
collector,2X2,False,True,foilCommonUncommonShowcase
collector,2X2,False,True,foilRareMythic
collector,2X2,False,True,foilRareMythicShowcase
collector,2X2,False,True,foilUncommon
collector,2X2,False,False,rareMythicShowcase
collector,2X2,False,True,texturedRareMythicShowcase
draft,2X2,True,False,commonWithShowcase
draft,2X2,False,False,crypticSpires
draft,2X2,False,True,dedicatedFoilDoubleMasters
draft,2X2,False,False,rareMythicWithShowcase
draft,2X2,False,False,uncommonWithShowcase
box-topper,2XM,False,False,boxtopper
draft,2XM,True,False,common
draft,2XM,False,True,dedicatedFoilDoubleMasters
draft,2XM,False,False,rareMythic
draft,2XM,False,False,uncommon
vip,2XM,False,True,foilBasic
vip,2XM,False,True,foilCommon
vip,2XM,False,True,foilForest1
vip,2XM,False,True,foilForest2
vip,2XM,False,True,foilIsland1
vip,2XM,False,True,foilIsland2
vip,2XM,False,True,foilMountain1
vip,2XM,False,True,foilMountain2
vip,2XM,False,True,foilPlains1
vip,2XM,False,True,foilPlains2
vip,2XM,False,True,foilRareMythic
vip,2XM,False,True,foilRareMythicBorderless
vip,2XM,False,True,foilSwamp1
vip,2XM,False,True,foilSwamp2
vip,2XM,False,True,foilUncommon
draft,30A,False,False,a30Basic
draft,30A,False,False,a30Common
draft,30A,False,False,a30Rare
draft,30A,False,False,a30Retro
draft,30A,False,False,a30RetroBasic
draft,30A,False,False,a30Uncommon
default,3ED,False,False,common
default,3ED,False,False,rare
default,3ED,False,False,uncommon
starter,3ED,False,False,commonWithDuplicates
starter,3ED,False,False,rare
starter,3ED,False,False,uncommonWithDuplicates
default,4ED,True,False,common
default,4ED,False,False,rare
default,4ED,False,False,uncommon
starter,4ED,False,False,basic
starter,4ED,False,False,commonWithDuplicates
starter,4ED,False,False,rare
starter,4ED,False,False,uncommonWithDuplicates
draft,5DN,True,False,common
draft,5DN,False,True,foilCommon
draft,5DN,False,True,foilRare
draft,5DN,False,True,foilUncommon
draft,5DN,False,False,rare
draft,5DN,False,False,uncommon
fat-pack,5DN,False,True,foilBasic
fat-pack,5DN,False,True,foilCommon
draft,5ED,True,False,common
draft,5ED,False,False,rare
draft,5ED,False,False,uncommon
starter,5ED,False,False,basic
starter,5ED,False,False,commonWithDuplicates
starter,5ED,False,False,rare
starter,5ED,False,False,uncommonWithDuplicates
draft,6ED,True,False,common
draft,6ED,False,False,rare
draft,6ED,False,False,uncommon
tournament,6ED,False,False,basic
tournament,6ED,False,False,commonWithDuplicates
tournament,6ED,False,False,rare
tournament,6ED,False,False,uncommonWithDuplicates
draft,7ED,False,False,basic
draft,7ED,True,False,common
draft,7ED,False,True,foilBasic
draft,7ED,False,True,foilCommon
draft,7ED,False,True,foilRare
draft,7ED,False,True,foilUncommon
draft,7ED,False,False,rare
draft,7ED,False,False,uncommon
draft,8ED,False,False,basic
draft,8ED,True,False,common
draft,8ED,False,True,foilBasic
draft,8ED,False,True,foilCommon
draft,8ED,False,True,foilRare
draft,8ED,False,True,foilUncommon
draft,8ED,False,False,rare
draft,8ED,False,False,uncommon
draft,9ED,False,False,basic
draft,9ED,True,False,common
draft,9ED,False,True,foilBasic
draft,9ED,False,True,foilCommon
draft,9ED,False,True,foilRare
draft,9ED,False,True,foilUncommon
draft,9ED,False,False,rare
draft,9ED,False,False,uncommon
draft,A25,True,False,common
draft,A25,False,True,dedicatedFoil
draft,A25,False,False,rareMythic
draft,A25,False,False,uncommon
collector,ACR,False,True,borderlessScene
collector,ACR,False,True,etchedRareMythic
collector,ACR,False,True,etchedUncommon
collector,ACR,False,True,foilBasic
collector,ACR,False,True,foilRareMythic
collector,ACR,False,True,foilShowcaseRareMythic
collector,ACR,False,True,foilShowcaseUncommon
collector,ACR,False,True,foilUncommon
collector,ACR,False,False,nonfoilExtended
default,ACR,False,False,basic
default,ACR,False,False,boosterFun
default,ACR,False,True,boosterFunFoil
default,ACR,False,True,foil
default,ACR,False,False,rareMythic
default,ACR,False,False,scene
default,ACR,False,False,uncommon
draft,AER,False,False,basic
draft,AER,True,False,common
draft,AER,False,True,foilOrMasterpiece1In144
draft,AER,False,False,rareMythic
draft,AER,False,False,uncommon
prerelease,AER,False,True,prereleasePromo
arena,AFR,True,False,common
arena,AFR,False,False,rareMythic
arena,AFR,False,False,uncommon
collector,AFR,False,False,commonUncommonShowcase
collector,AFR,False,False,extendedCommanderRareMythic
collector,AFR,False,False,extendedCoreRareMythic
collector,AFR,False,True,foilBasic
collector,AFR,False,True,foilCommon
collector,AFR,False,True,foilCommonUncommonShowcase
collector,AFR,False,True,foilRareMythic
collector,AFR,False,True,foilRareMythicAltArt
collector,AFR,False,True,foilUncommon
collector,AFR,False,False,rareMythicShowcase
draft,AFR,False,False,basic
draft,AFR,True,False,commonWithShowcase
draft,AFR,False,True,foilWithShowcase
draft,AFR,False,False,rareMythicWithShowcase
draft,AFR,False,False,uncommonWithShowcase
prerelease,AFR,False,True,prereleasePromo
set,AFR,False,False,basic
set,AFR,False,False,common
set,AFR,False,False,commonUncommonShowcase
set,AFR,False,True,foilBasic
set,AFR,False,True,foilWithShowcase
set,AFR,False,False,rareMythic
set,AFR,False,False,theList
set,AFR,False,False,uncommon
set,AFR,False,False,wildcard
theme-b,AFR,False,False,common
theme-b,AFR,False,False,rareMythic
theme-b,AFR,False,False,uncommon
theme-dungeons,AFR,False,False,common
theme-dungeons,AFR,False,False,rareMythic
theme-dungeons,AFR,False,False,uncommon
theme-g,AFR,False,False,common
theme-g,AFR,False,False,rareMythic
theme-g,AFR,False,False,uncommon
theme-r,AFR,False,False,common
theme-r,AFR,False,False,rareMythic
theme-r,AFR,False,False,uncommon
theme-u,AFR,False,False,common
theme-u,AFR,False,False,rareMythic
theme-u,AFR,False,False,uncommon
theme-w,AFR,False,False,common
theme-w,AFR,False,False,rareMythic
theme-w,AFR,False,False,uncommon
draft,AKH,False,False,basic
draft,AKH,True,False,common
draft,AKH,False,True,foilOrMasterpiece1In129
draft,AKH,False,False,rareMythic
draft,AKH,False,False,uncommon
prerelease,AKH,False,True,prereleasePromo
arena,AKR,True,False,common
arena,AKR,False,False,rareMythic
arena,AKR,False,False,uncommon
draft,ALA,False,False,basic
draft,ALA,False,False,common
draft,ALA,False,True,foil
draft,ALA,False,False,rareMythic
draft,ALA,False,False,uncommon
premium,ALA,False,True,alaraPremiumBasic
premium,ALA,False,True,alaraPremiumCommon
premium,ALA,False,True,alaraPremiumRareMythic
premium,ALA,False,True,alaraPremiumUncommon
tournament,ALA,False,False,basic
tournament,ALA,False,False,common
tournament,ALA,False,False,rare
tournament,ALA,False,False,uncommon
default,ALL,False,False,common
default,ALL,False,False,rare
default,ALL,False,False,uncommon
draft,APC,False,False,common
draft,APC,False,True,foilCommon
draft,APC,False,True,foilRare
draft,APC,False,True,foilUncommon
draft,APC,False,False,rare
draft,APC,False,False,uncommon
fat-pack,APC,False,True,foilBasic
fat-pack,APC,False,True,foilCommon
draft,ARB,False,False,basic
draft,ARB,False,False,common
draft,ARB,False,True,foil
draft,ARB,False,False,rareMythic
draft,ARB,False,False,uncommon
six,ARB,False,False,basic
six,ARB,False,False,common
six,ARB,False,False,rareMythic
six,ARB,False,False,uncommon
default,ARN,False,False,common
default,ARN,False,False,uncommon
