language,setCode,translation
Chinese Simplified,10E,
Chinese Traditional,10E,
French,10E,Dixième édition
German,10E,Zehnte Edition
Italian,10E,Decima Edizione
Japanese,10E,
Korean,10E,
Portuguese (Brazil),10E,
Russian,10E,
Spanish,10E,Décima Edición
Chinese Simplified,2X2,
Chinese Traditional,2X2,
French,2X2,Double Masters 2022
German,2X2,Double Masters 2022
Italian,2X2,Double Masters 2022
Japanese,2X2,
Korean,2X2,
Portuguese (Brazil),2X2,
Russian,2X2,
Spanish,2X2,Double Masters 2022
Chinese Simplified,2XM,
Chinese Traditional,2XM,
French,2XM,Double Masters
German,2XM,Double Masters
Italian,2XM,Double Masters
Japanese,2XM,
Korean,2XM,
Portuguese (Brazil),2XM,
Russian,2XM,
Spanish,2XM,Double Masters
Chinese Simplified,30A,
Chinese Traditional,30A,
French,30A,30th Anniversary Edition
German,30A,30th Anniversary Edition
Italian,30A,30th Anniversary Edition
Japanese,30A,
Korean,30A,
Portuguese (Brazil),30A,
Russian,30A,
Spanish,30A,30th Anniversary Edition
Chinese Simplified,4ED,
Chinese Traditional,4ED,
French,4ED,Quatrième Edition
German,4ED,Vierte Edition
Italian,4ED,Quarta Edizione
Japanese,4ED,
Korean,4ED,
Portuguese (Brazil),4ED,
Russian,4ED,
Spanish,4ED,Cuarta Edición
Chinese Simplified,5DN,
Chinese Traditional,5DN,
French,5DN,La Cinquième Aube
German,5DN,Fünfte Morgenröte
Italian,5DN,Quinta Alba
Japanese,5DN,
Korean,5DN,
Portuguese (Brazil),5DN,
Russian,5DN,
Spanish,5DN,Quinto Amanecer
Chinese Simplified,5ED,
Chinese Traditional,5ED,
French,5ED,Cinquième Edition
German,5ED,Fünfte Edition
Italian,5ED,Quinta Edizione
Japanese,5ED,
Korean,5ED,
Portuguese (Brazil),5ED,
Russian,5ED,
Spanish,5ED,Quinta Edición
Chinese Simplified,7ED,
Chinese Traditional,7ED,
French,7ED,Septième Edition
German,7ED,Siebte Edition
Italian,7ED,Settima Edizione
Japanese,7ED,
Korean,7ED,
Portuguese (Brazil),7ED,
Russian,7ED,
Spanish,7ED,Séptima Edición
Chinese Simplified,8ED,
Chinese Traditional,8ED,
French,8ED,Huitième Edition
German,8ED,Achte Edition
Italian,8ED,Ottava Edizione
Japanese,8ED,
Korean,8ED,
Portuguese (Brazil),8ED,
Russian,8ED,
Spanish,8ED,Octava Edición
Chinese Simplified,9ED,
Chinese Traditional,9ED,
French,9ED,Neuvième Edition
German,9ED,Neunte Edition
Italian,9ED,Nona Edizione
Japanese,9ED,
Korean,9ED,
Portuguese (Brazil),9ED,
Russian,9ED,
Spanish,9ED,Novena Edición
Chinese Simplified,A25,
Chinese Traditional,A25,
French,A25,Masters 25
German,A25,Masters 25
Italian,A25,Masters 25
Japanese,A25,
Korean,A25,
Portuguese (Brazil),A25,
Russian,A25,
Spanish,A25,Masters 25
Chinese Simplified,AER,
Chinese Traditional,AER,
French,AER,La révolte éthérique
German,AER,Äther-Rebellion
Italian,AER,Rivolta dell’Etere
Japanese,AER,
Korean,AER,
Portuguese (Brazil),AER,
Russian,AER,
Spanish,AER,La revuelta del éter
Chinese Simplified,AFR,
Chinese Traditional,AFR,
French,AFR,Forgotten Realms: Aventures dans les Royaumes Oubliés
German,AFR,Abenteuer in den Forgotten Realms
Italian,AFR,Avventure nei Forgotten Realms
Japanese,AFR,
Korean,AFR,
Portuguese (Brazil),AFR,
Russian,AFR,
Spanish,AFR,Aventuras en Forgotten Realms
Chinese Simplified,AKH,
Chinese Traditional,AKH,
French,AKH,Amonkhet
German,AKH,Amonkhet
Italian,AKH,Amonkhet
Japanese,AKH,
Korean,AKH,
Portuguese (Brazil),AKH,
Russian,AKH,
Spanish,AKH,Amonkhet
Chinese Simplified,ALA,
Chinese Traditional,ALA,
French,ALA,Les éclats d'Alara
German,ALA,Fragmente von Alara
Italian,ALA,Shards of Alara
Japanese,ALA,
Korean,ALA,
Portuguese (Brazil),ALA,
Russian,ALA,
Spanish,ALA,Shards of Alara
Chinese Simplified,ALL,
Chinese Traditional,ALL,
French,ALL,Alliances
German,ALL,Allianzen
Italian,ALL,Alleanze
Japanese,ALL,
Korean,ALL,
Portuguese (Brazil),ALL,
Russian,ALL,
Spanish,ALL,Alianzas
Chinese Simplified,APC,
Chinese Traditional,APC,
French,APC,Apocalypse
German,APC,Apokalypse
