baseSetSize,block,cardsphereSetId,code,isFoilOnly,isForeignOnly,isNonFoilOnly,isOnlineOnly,isPartialPreview,keyruneCode,languages,mcmId,mcmIdExtras,mcmName,mtgoCode,name,parentCode,releaseDate,tcgplayerGroupId,tokenSetCode,totalSetSize,type
383,Core Set,755.0,10E,False,,,False,,10E,"Chinese Simplified, English, French, German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish",74.0,,Tenth Edition,10E,Tenth Edition,,2007-07-13,1.0,T10E,510,core
302,Core Set,938.0,2ED,False,,True,False,,2ED,English,,,,,Unlimited Edition,,1993-12-01,115.0,,302,core
331,,1462.0,2X2,False,,,False,,2X2,"Chinese Simplified, English, French, German, Japanese",5070.0,5071.0,Double Masters 2022,,Double Masters 2022,,2022-07-08,3070.0,T2X2,579,masters
332,,1251.0,2XM,False,,,False,,2XM,"Chinese Simplified, English, French, German, Japanese",3204.0,3209.0,Double Masters,2XM,Double Masters,,2020-08-07,2655.0,T2XM,384,masters
594,,,30A,False,,True,False,,30A,English,5199.0,,30th Anniversary Edition,,30th Anniversary Edition,,2022-11-28,3178.0,T30A,594,memorabilia
306,Core Set,913.0,3ED,False,,True,False,,3ED,"English, French, German, Italian",,,,,Revised Edition,,1994-04-11,97.0,,306,core
617,Commander,1476.0,40K,False,,,False,,40K,English,,,,,"Warhammer 40,000 Commander",,2022-10-07,3079.0,T40K,617,commander
378,,,4BB,False,True,True,False,,4ED,"Chinese Traditional, Japanese, Korean, Portuguese (Brazil), Spanish",,,,,Fourth Edition Foreign Black Border,4ED,1995-04-01,1688.0,,378,core
378,Core Set,756.0,4ED,False,,True,False,,4ED,"English, French, German, Italian, Japanese, Portuguese (Brazil), Spanish",10.0,,Fourth Edition,,Fourth Edition,,1995-04-01,46.0,,380,core
165,Mirrodin,834.0,5DN,False,,,False,,5DN,"Chinese Simplified, English, French, German, Italian, Japanese, Portuguese (Brazil), Spanish",47.0,,Fifth Dawn,5DN,Fifth Dawn,,2004-06-04,43.0,,165,expansion
455,Core Set,757.0,5ED,False,,True,False,,5ED,"Chinese Simplified, Chinese Traditional, English, French, German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish",23.0,,Fifth Edition,,Fifth Edition,,1997-03-24,44.0,,460,core
350,Core Set,758.0,6ED,False,,True,False,,6ED,"Chinese Simplified, Chinese Traditional, English, French, German, Italian, Japanese, Portuguese (Brazil), Spanish",,,,,Classic Sixth Edition,,1999-04-21,23.0,,351,core
